,movie name,meter_score,audience_score
945,exodus: gods and kings,23,59%
946,the nut job,11,43%
947,god's not dead,11,43%
948,son of god,21,73%
949,planes: fire & rescue,21,73%
950,the grand budapest hotel,91,86%
951,robocop,49,49%
952,dracula untold,24,57%
953,horrible bosses 2,34,47%
954,the hundred-foot journey,34,47%
955,no good deed,25,25%
956,selma,99,86%
957,muppets most wanted,80,58%
958,ouija,,41%
959,the boxtrolls,76,63%
960,jack ryan: shadow recruit,76,63%
961,if i stay,35,61%
962,the book of life,82,77%
963,about last night,61,59%
964,into the storm,,63%
965,the judge,,63%
966,jersey boys,52,62%
967,blended,14,63%
968,the giver,35,55%
969,st. vincent,35,55%
970,need for speed,23,57%
971,a million ways to die in the west,33,40%
972,john wick,86,80%
973,birdman or (the unexpected virtue of ignorance),86,80%
974,dolphin tale 2,65,72%
975,the expendables 3,32,49%
976,earth to echo,50,47%
977,sex tape,17,33%
978,wild,20,36%
979,million dollar arm,65,68%
980,the theory of everything,65,68%
981,viy,,81%
982,this is where i leave you,42,59%
983,the gambler,42,59%
984,unfriended,63,37%
985,paranormal activity: the marked ones,63,37%
986,nightcrawler,95,85%
987,3 days to kill,27,43%
988,chef,,89%
989,deliver us from evil,100,89%
990,get on up,80,68%
991,when the game stands tall,20,72%
992,draft day,60,65%
993,the best of me,9,59%
994,the woman in black 2: angel of death,9,59%
995,a walk among the tombstones,66,53%
996,that awkward moment,22,46%
997,ex machina,92,86%
998,boyhood,97,80%
999,top five,86,64%
1000,the november man,35,46%
1001,endless love,25,53%
1002,pompeii,25,53%
1003,transcendence,25,53%
1004,black or white,40,65%
1005,"as above, so below",40,65%
1006,brick mansions,26,47%
1007,"i, frankenstein",26,47%
1008,the legend of hercules,3,33%
1009,still alice,86,85%
1010,addicted,,
1011,a haunted house 2,8,43%
1012,a most wanted man,86,65%
1013,seventh son,12,34%
1014,the single moms club,19,58%
1015,devil's due,19,58%
1016,and so it goes,18,40%
1017,step up all in,41,57%
1018,it follows,97,66%
1019,beyond the lights,82,75%
1020,big eyes,73,68%
1021,left behind,73,68%
1022,sin city: a dame to kill for,73,68%
1023,whiplash,73,68%
1024,love & mercy,73,68%
1025,foxcatcher,87,66%
1026,the drop,89,76%
1027,pk,79,85%
1028,sabotage,79,85%
1029,magic in the moonlight,51,45%
1030,moms' night out,51,45%
1031,the quiet ones,,
1032,inherent vice,73,52%
1033,vampire academy,17,55%
1034,while we're young,17,55%
1035,cantinflas,45,68%
1036,the interview,,
1037,the loft,15,37%
1038,a most violent year,89,69%
1039,cesar chavez,89,69%
1040,the skeleton twins,87,69%
